Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
1,1610612737,Atlanta Hawks,18,24,58,27,55,-5.45,0.15,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,16.4,27,0.608,4.2,11.8,0.36,6.4,15.8,0.403,1.7,4.3,0.396,1.7,3.7,0.461,7.7,22.6,0.341,0,0.3,0,17,28.9,0.588,2.1,6.2,0.341,2.8,7,0.395,3.5,8.8,0.404,7.4,18.6,0.398,5.3,15.5,0.343,0,0.2,0.071,0,0.1,0.25,0,0.3,0
2,1610612738,Boston Celtics*,18,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96,0.243,0.357,0.552,0.518,13,21.5,0.188,15,25.3,0.592,4.9,13,0.379,7,16.4,0.425,1.5,3.4,0.427,1.3,3.4,0.396,8.6,23.4,0.37,0,0.2,0,15.7,27.4,0.572,3,8,0.377,2.9,7.4,0.396,4,9,0.444,5.5,13.7,0.401,7.1,19,0.375,0.1,0.3,0.211,0,0.1,0,0,0.3,0
3,1610612751,Brooklyn Nets,18,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,16.4,26.5,0.617,5.5,14.6,0.38,3.6,10,0.363,1.4,4,0.363,1.4,3.7,0.375,9.9,27.8,0.355,0,0.1,0,17.2,29,0.593,3.5,9.5,0.373,2.4,6,0.398,1.8,4.7,0.386,5.8,16.4,0.352,7.3,20.4,0.359,0.2,0.6,0.324,0,0.1,0.2,0,0.2,0
4,1610612766,Charlotte Hornets,18,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,16.2,26.5,0.612,5.7,14.1,0.401,7.1,18.9,0.375,0.8,2.4,0.356,0.8,2.1,0.374,8.4,22.5,0.374,0,0.3,0,16.8,28.1,0.597,3.7,9.5,0.389,3.4,8.1,0.423,4,10.5,0.375,4,11.1,0.364,7,18.6,0.376,0.1,0.4,0.222,0,0.1,0,0,0.3,0.038
5,1610612741,Chicago Bulls,18,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,15.3,25.8,0.592,5.6,14.2,0.395,6.7,17.8,0.379,1.2,3.1,0.379,1.1,2.9,0.371,8.8,24.9,0.354,0,0.2,0,16.1,28.1,0.574,3.7,9.2,0.4,2.6,7.1,0.373,3.5,8.9,0.387,6.1,16.1,0.377,6.6,19,0.349,0.1,0.2,0.25,0,0,0,0,0.2,0
6,1610612739,Cleveland Cavaliers*,18,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,1,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,18.6,27.1,0.685,3.5,9.6,0.369,6.3,16,0.396,1.8,4.4,0.412,1.7,4.2,0.412,8.4,23.4,0.36,0,0.2,0,19,28.4,0.667,2.3,6.3,0.372,2.6,6.4,0.402,3.2,7.6,0.417,6.4,16.9,0.377,6.8,18.4,0.366,0.3,0.6,0.444,0,0.1,0.167,0,0.2,0
7,1610612742,Dallas Mavericks,18,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,14.5,23.3,0.623,4.9,12.4,0.397,7,17.4,0.399,1.3,3.2,0.392,1.1,2.5,0.456,9.4,26.8,0.35,0,0.2,0,15.2,25.1,0.606,2.9,7.1,0.403,2.9,7.6,0.385,3.9,9.4,0.411,6.5,16.6,0.395,6.7,19.5,0.341,0.1,0.4,0.182,0,0.1,0.25,0,0.3,0
8,1610612743,Denver Nuggets,18,46,36,45,37,1.48,0.09,1.57,112.5,111,1.5,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,18.2,28.6,0.634,6.3,15.4,0.412,4.8,11.7,0.407,1.1,2.8,0.394,1.2,2.7,0.455,9.1,25.1,0.364,0,0.3,0,19.4,31.8,0.611,3.9,9.7,0.4,3,6.6,0.45,2.2,5.6,0.393,5.9,15.3,0.386,6.2,17,0.367,0.1,0.3,0.278,0,0.1,0.4,0,0.3,0
9,1610612765,Detroit Pistons,18,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,16,25.9,0.619,5.7,16.2,0.354,6.5,16,0.409,1.2,3.2,0.376,1.5,3.7,0.41,8.1,21.8,0.371,0,0.2,0.053,16.8,28.5,0.589,3.6,10.1,0.357,3.2,7.5,0.42,3.7,9.1,0.41,5,13.1,0.379,6.8,18.1,0.377,0,0.2,0.25,0,0.1,0.2,0,0.3,0.043
10,1610612744,Golden State Warriors*,18,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,17,24.9,0.683,5,11.2,0.449,9.5,20.1,0.47,1.1,2.7,0.392,0.9,2.1,0.411,9.3,23.7,0.394,0,0.3,0,17.5,26.1,0.67,2.6,6.1,0.431,4.7,9.7,0.487,5.3,11.3,0.469,4.9,11.6,0.423,7.7,19.6,0.391,0.1,0.4,0.29,0,0.1,0.2,0,0.3,0
